epi_id,epi_isl,strain,subtype,host_type,sequence_length
SYNTH0000001,SYNTH_ISL_00000001,A/Synthetic_human/SYN/000001/2021,A_/_H5N1,human,759
SYNTH0000002,SYNTH_ISL_00000002,A/Synthetic_human/SYN/000002/2022,A_/_H5N1,human,759
SYNTH0000003,SYNTH_ISL_00000003,A/Synthetic_human/SYN/000003/2025,A_/_H5N1,human,759
SYNTH0000004,SYNTH_ISL_00000004,A/Synthetic_human/SYN/000004/2021,A_/_H5N1,human,343
SYNTH0000005,SYNTH_ISL_00000005,A/Synthetic_human/SYN/000005/2025,A_/_H5N1,human,759
SYNTH0000006,SYNTH_ISL_00000006,A/Synthetic_human/SYN/000006/2025,A_/_H5N1,human,759
SYNTH0000007,SYNTH_ISL_00000007,A/Synthetic_human/SYN/000007/2025,A_/_H5N1,human,759
SYNTH0000008,SYNTH_ISL_00000008,A/Synthetic_human/SYN/000008/2022,A_/_H5N1,human,759
SYNTH0000009,SYNTH_ISL_00000009,A/Synthetic_human/SYN/000009/2023,A_/_H5N1,human,759
SYNTH0000010,SYNTH_ISL_00000010,A/Synthetic_human/SYN/000010/2021,A_/_H5N1,human,759
SYNTH0000011,SYNTH_ISL_00000011,A/Synthetic_human/SYN/000011/2023,A_/_H5N1,human,759
SYNTH0000012,SYNTH_ISL_00000012,A/Synthetic_human/SYN/000012/2021,A_/_H5N1,human,759
SYNTH0000013,SYNTH_ISL_00000013,A/Synthetic_human/SYN/000013/2024,A_/_H5N1,human,759
SYNTH0000014,SYNTH_ISL_00000014,A/Synthetic_human/SYN/000014/2025,A_/_H5N1,human,759
SYNTH0000015,SYNTH_ISL_00000015,A/Synthetic_human/SYN/000015/2025,A_/_H5N1,human,759
SYNTH0000016,SYNTH_ISL_00000016,A/Synthetic_human/SYN/000016/2021,A_/_H5N1,human,759
SYNTH0000017,SYNTH_ISL_00000017,A/Synthetic_human/SYN/000017/2021,A_/_H5N1,human,759
SYNTH0000018,SYNTH_ISL_00000018,A/Synthetic_human/SYN/000018/2024,A_/_H5N1,human,759
SYNTH0000019,SYNTH_ISL_00000019,A/Synthetic_human/SYN/000019/2022,A_/_H5N1,human,759
SYNTH0000020,SYNTH_ISL_00000020,A/Synthetic_human/SYN/000020/2023,A_/_H5N1,human,759
SYNTH0000021,SYNTH_ISL_00000021,A/Synthetic_human/SYN/000021/2025,A_/_H5N1,human,759
SYNTH0000022,SYNTH_ISL_00000022,A/Synthetic_human/SYN/000022/2022,A_/_H5N1,human,759
SYNTH0000023,SYNTH_ISL_00000023,A/Synthetic_human/SYN/000023/2025,A_/_H5N1,human,759
SYNTH0000024,SYNTH_ISL_00000024,A/Synthetic_human/SYN/000024/2021,A_/_H5N1,human,759
SYNTH0000025,SYNTH_ISL_00000025,A/Synthetic_human/SYN/000025/2023,A_/_H5N1,human,759
SYNTH0000026,SYNTH_ISL_00000026,A/Synthetic_human/SYN/000026/2022,A_/_H5N1,human,759
SYNTH0000027,SYNTH_ISL_00000027,A/Synthetic_human/SYN/000027/2022,A_/_H5N1,human,759
SYNTH0000028,SYNTH_ISL_00000028,A/Synthetic_human/SYN/000028/2024,A_/_H5N1,human,759
SYNTH0000029,SYNTH_ISL_00000029,A/Synthetic_human/SYN/000029/2022,A_/_H5N1,human,759
SYNTH0000030,SYNTH_ISL_00000030,A/Synthetic_human/SYN/000030/2025,A_/_H5N1,human,759
SYNTH0000031,SYNTH_ISL_00000031,A/Synthetic_human/SYN/000031/2023,A_/_H5N1,human,759
SYNTH0000032,SYNTH_ISL_00000032,A/Synthetic_human/SYN/000032/2025,A_/_H5N1,human,759
SYNTH0000033,SYNTH_ISL_00000033,A/Synthetic_human/SYN/000033/2021,A_/_H5N1,human,759
SYNTH0000034,SYNTH_ISL_00000034,A/Synthetic_human/SYN/000034/2024,A_/_H5N1,human,759
SYNTH0000035,SYNTH_ISL_00000035,A/Synthetic_human/SYN/000035/2024,A_/_H5N1,human,759
SYNTH0000036,SYNTH_ISL_00000036,A/Synthetic_human/SYN/000036/2025,A_/_H5N1,human,759
SYNTH0000037,SYNTH_ISL_00000037,A/Synthetic_human/SYN/000037/2021,A_/_H5N1,human,759
SYNTH0000038,SYNTH_ISL_00000038,A/Synthetic_human/SYN/000038/2023,A_/_H5N1,human,759
SYNTH0000039,SYNTH_ISL_00000039,A/Synthetic_human/SYN/000039/2022,A_/_H5N1,human,759
SYNTH0000040,SYNTH_ISL_00000040,A/Synthetic_human/SYN/000040/2025,A_/_H5N1,human,759
SYNTH0000041,SYNTH_ISL_00000041,A/Synthetic_human/SYN/000041/2023,A_/_H5N1,human,759
SYNTH0000042,SYNTH_ISL_00000042,A/Synthetic_human/SYN/000042/2022,A_/_H5N1,human,759
SYNTH0000043,SYNTH_ISL_00000043,A/Synthetic_human/SYN/000043/2025,A_/_H5N1,human,759
SYNTH0000044,SYNTH_ISL_00000044,A/Synthetic_human/SYN/000044/2025,A_/_H5N1,human,759
SYNTH0000045,SYNTH_ISL_00000045,A/Synthetic_human/SYN/000045/2021,A_/_H5N1,human,759
SYNTH0000046,SYNTH_ISL_00000046,A/Synthetic_human/SYN/000046/2022,A_/_H5N1,human,759
SYNTH0000047,SYNTH_ISL_00000047,A/Synthetic_human/SYN/000047/2021,A_/_H5N1,human,759
SYNTH0000048,SYNTH_ISL_00000048,A/Synthetic_human/SYN/000048/2025,A_/_H5N1,human,759
SYNTH0000049,SYNTH_ISL_00000049,A/Synthetic_human/SYN/000049/2024,A_/_H5N1,human,759
SYNTH0000050,SYNTH_ISL_00000050,A/Synthetic_human/SYN/000050/2023,A_/_H5N1,human,759
SYNTH0000051,SYNTH_ISL_00000051,A/Synthetic_human/SYN/000051/2022,A_/_H5N1,human,759
SYNTH0000052,SYNTH_ISL_00000052,A/Synthetic_human/SYN/000052/2023,A_/_H5N1,human,759
SYNTH0000053,SYNTH_ISL_00000053,A/Synthetic_human/SYN/000053/2024,A_/_H5N1,human,759
SYNTH0000054,SYNTH_ISL_00000054,A/Synthetic_human/SYN/000054/2021,A_/_H5N1,human,759
SYNTH0000055,SYNTH_ISL_00000055,A/Synthetic_human/SYN/000055/2023,A_/_H5N1,human,687
SYNTH0000056,SYNTH_ISL_00000056,A/Synthetic_human/SYN/000056/2025,A_/_H5N1,human,759
SYNTH0000057,SYNTH_ISL_00000057,A/Synthetic_human/SYN/000057/2021,A_/_H5N1,human,759
SYNTH0000058,SYNTH_ISL_00000058,A/Synthetic_human/SYN/000058/2023,A_/_H5N1,human,759
SYNTH0000059,SYNTH_ISL_00000059,A/Synthetic_human/SYN/000059/2023,A_/_H5N1,human,759
SYNTH0000060,SYNTH_ISL_00000060,A/Synthetic_human/SYN/000060/2025,A_/_H5N1,human,759
SYNTH0000061,SYNTH_ISL_00000061,A/Synthetic_human/SYN/000061/2022,A_/_H5N1,human,759
SYNTH0000062,SYNTH_ISL_00000062,A/Synthetic_human/SYN/000062/2022,A_/_H5N1,human,759
SYNTH0000063,SYNTH_ISL_00000063,A/Synthetic_human/SYN/000063/2023,A_/_H5N1,human,759
SYNTH0000064,SYNTH_ISL_00000064,A/Synthetic_human/SYN/000064/2021,A_/_H5N1,human,759
SYNTH0000065,SYNTH_ISL_00000065,A/Synthetic_human/SYN/000065/2021,A_/_H5N1,human,759
SYNTH0000066,SYNTH_ISL_00000066,A/Synthetic_human/SYN/000066/2021,A_/_H5N1,human,759
SYNTH0000067,SYNTH_ISL_00000067,A/Synthetic_human/SYN/000067/2025,A_/_H5N1,human,759
SYNTH0000068,SYNTH_ISL_00000068,A/Synthetic_human/SYN/000068/2022,A_/_H5N1,human,759
SYNTH0000069,SYNTH_ISL_00000069,A/Synthetic_human/SYN/000069/2021,A_/_H5N1,human,759
SYNTH0000070,SYNTH_ISL_00000070,A/Synthetic_human/SYN/000070/2021,A_/_H5N1,human,759
SYNTH0000071,SYNTH_ISL_00000071,A/Synthetic_human/SYN/000071/2021,A_/_H5N1,human,759
SYNTH0000072,SYNTH_ISL_00000072,A/Synthetic_human/SYN/000072/2022,A_/_H5N1,human,759
SYNTH0000073,SYNTH_ISL_00000073,A/Synthetic_human/SYN/000073/2022,A_/_H5N1,human,759
SYNTH0000074,SYNTH_ISL_00000074,A/Synthetic_human/SYN/000074/2022,A_/_H5N1,human,759
SYNTH0000075,SYNTH_ISL_00000075,A/Synthetic_human/SYN/000075/2023,A_/_H5N1,human,759
SYNTH0000076,SYNTH_ISL_00000076,A/Synthetic_human/SYN/000076/2023,A_/_H5N1,human,759
SYNTH0000077,SYNTH_ISL_00000077,A/Synthetic_human/SYN/000077/2022,A_/_H5N1,human,759
SYNTH0000078,SYNTH_ISL_00000078,A/Synthetic_human/SYN/000078/2021,A_/_H5N1,human,759
SYNTH0000079,SYNTH_ISL_00000079,A/Synthetic_human/SYN/000079/2023,A_/_H5N1,human,759
SYNTH0000080,SYNTH_ISL_00000080,A/Synthetic_human/SYN/000080/2025,A_/_H5N1,human,759
SYNTH0000081,SYNTH_ISL_00000081,A/Synthetic_human/SYN/000081/2021,A_/_H5N1,human,759
SYNTH0000082,SYNTH_ISL_00000082,A/Synthetic_human/SYN/000082/2022,A_/_H5N1,human,759
SYNTH0000083,SYNTH_ISL_00000083,A/Synthetic_human/SYN/000083/2022,A_/_H5N1,human,759
SYNTH0000084,SYNTH_ISL_00000084,A/Synthetic_human/SYN/000084/2025,A_/_H5N1,human,759
SYNTH0000085,SYNTH_ISL_00000085,A/Synthetic_human/SYN/000085/2024,A_/_H5N1,human,759
SYNTH0000086,SYNTH_ISL_00000086,A/Synthetic_human/SYN/000086/2023,A_/_H5N1,human,759
SYNTH0000087,SYNTH_ISL_00000087,A/Synthetic_human/SYN/000087/2022,A_/_H5N1,human,759
SYNTH0000088,SYNTH_ISL_00000088,A/Synthetic_human/SYN/000088/2023,A_/_H5N1,human,759
SYNTH0000089,SYNTH_ISL_00000089,A/Synthetic_human/SYN/000089/2021,A_/_H5N1,human,759
SYNTH0000090,SYNTH_ISL_00000090,A/Synthetic_human/SYN/000090/2021,A_/_H5N1,human,759
SYNTH0000091,SYNTH_ISL_00000091,A/Synthetic_human/SYN/000091/2022,A_/_H5N1,human,759
SYNTH0000092,SYNTH_ISL_00000092,A/Synthetic_human/SYN/000092/2022,A_/_H5N1,human,759
SYNTH0000093,SYNTH_ISL_00000093,A/Synthetic_human/SYN/000093/2024,A_/_H5N1,human,759
SYNTH0000094,SYNTH_ISL_00000094,A/Synthetic_human/SYN/000094/2025,A_/_H5N1,human,759
SYNTH0000095,SYNTH_ISL_00000095,A/Synthetic_human/SYN/000095/2025,A_/_H5N1,human,759
SYNTH0000096,SYNTH_ISL_00000096,A/Synthetic_human/SYN/000096/2022,A_/_H5N1,human,759
SYNTH0000097,SYNTH_ISL_00000097,A/Synthetic_human/SYN/000097/2025,A_/_H5N1,human,759
SYNTH0000098,SYNTH_ISL_00000098,A/Synthetic_human/SYN/000098/2025,A_/_H5N1,human,759
